SCALE_SCORE_2015,SCALE_SCORE_2016
591,591
471,513
573,586
441,458
474,460
635,697
637,635
586,633
464,513
580,586
511,538
536,569
642,662
499,533
516,559
544,522
493,444
436,428
552,595
516,545
604,604
694,643
604,575
480,515
627,619
604,577
536,530
382,359
527,558
549,561
490,552
659,698
499,564
491,475
540,578
586,625
453,487
477,515
487,480
586,619
528,537
519,554
490,507
571,635
473,460
569,550
557,619
448,386
718,659
477,465
703,656
526,485
585,629
392,328
523,524
543,560
478,451
500,552
544,579
594,641
533,455
397,436
516,551
523,518
565,636
385,296
511,501
582,563
534,545
459,515
541,596
491,549
616,572
437,455
612,635
580,622
373,469
625,609
541,574
443,456
556,544
539,538
517,585
527,537
515,493
510,517
502,529
540,523
405,381
649,643
447,469
449,499
560,602
569,641
535,566
497,529
535,580
477,494
492,501
477,582
